,bathrooms,bedrooms,latitude,longitude,price,num_photos,distance,hardwood floor,dogs allow,cats allow,elev,stainless steel,steel applianc,new york,interest_level
22,1.0,1,40.7685,-73.9895,4960,7,0.6382053095184544,0,1,1,1,0,0,0,low
23,1.0,1,40.7319,-73.9817,3362,6,0.10547623024575609,1,0,0,1,1,1,1,low
24,1.0,1,40.7709,-73.9496,2700,4,0.9165079081687325,0,0,0,0,0,0,0,medium
25,2.0,3,40.7352,-73.9832,5500,7,0.3591028353454352,1,0,0,0,1,1,0,low
26,1.0,2,40.7084,-74.0048,5425,4,0.18720744276831844,0,0,0,1,1,1,0,low
27,1.0,2,40.7735,-73.9509,3250,6,0.7557961633153973,0,1,1,0,1,1,0,low
28,1.0,0,40.7708,-73.9576,2350,4,0.36741674628663534,1,0,0,0,0,0,1,low
29,1.0,2,40.7585,-73.9913,3395,4,0.18693159363001785,1,1,1,1,1,1,1,low
30,1.0,2,40.7223,-73.9966,4000,8,0.045591517585168814,1,0,0,0,1,1,0,low
31,1.0,0,40.7743,-73.9875,1495,3,0.4556868469469077,1,0,0,1,0,0,1,high
32,1.0,4,40.8031,-73.9653,5200,3,0.1620148909127008,0,0,0,0,0,0,0,medium
33,1.0,1,40.7185,-73.9865,2900,5,0.08160329972941863,0,0,0,1,0,0,0,medium
34,1.0,3,40.645,-73.9984,2200,9,0.3726922576569516,0,0,0,1,0,0,0,high
35,1.0,2,40.6455,-73.961,2475,13,0.3368735864875658,0,1,1,1,0,0,0,low
36,1.0,1,40.7633,-73.9932,2895,4,0.614942681563805,1,1,1,0,1,1,1,low
37,1.0,0,40.771,-73.9553,1750,5,0.48294039591590304,1,0,0,0,0,0,0,low
38,2.0,3,40.6678,-73.9398,3050,8,0.2669549300498023,1,1,1,0,1,1,0,low
39,1.0,0,40.7398,-73.9811,3850,9,0.45084956667884324,1,0,0,1,0,0,1,low
40,1.0,3,40.6956,-73.9227,2400,9,0.42376183440594767,0,0,0,0,1,1,0,medium
41,1.0,1,40.7751,-73.9886,3925,8,0.5689395373006256,1,0,0,1,1,1,1,low
42,1.0,2,40.7931,-73.9715,2795,6,0.11442679531415559,0,0,0,0,0,0,0,high
43,1.0,1,40.7287,-73.981,2850,3,0.2560499540015281,0,1,1,0,0,0,0,low
44,1.0,1,40.7528,-73.9709,2985,6,0.4590267245864545,1,0,0,1,0,0,0,low
45,1.0,1,40.7852,-73.949,4400,7,0.1820097343196733,1,1,1,1,1,1,0,low
46,1.0,1,40.7074,-74.0069,3620,6,0.1962999294195557,0,1,1,1,0,0,0,low
47,3.0,4,40.7024,-73.9279,4200,12,0.5069350981826664,0,1,1,0,1,1,0,low
48,2.0,3,40.7754,-73.9509,4995,5,0.6024295426237352,0,0,0,1,1,1,0,low
49,1.0,0,40.7656,-73.9582,1895,3,0.554836208020189,1,0,0,0,1,1,0,medium
50,1.0,1,40.7075,-74.0079,3710,5,0.12622112607088135,0,1,1,1,0,0,0,low
51,1.0,1,40.7959,-73.9742,3300,3,0.2710869707391315,0,1,1,1,0,0,0,low
52,1.0,3,40.7641,-73.9592,4350,5,0.5848974597095316,1,1,1,0,0,0,1,low
53,1.0,1,40.826,-73.9518,2175,10,0.13577257835594908,0,1,1,1,0,0,0,low
54,1.0,1,40.7474,-73.9566,2995,13,0.5886260241535336,0,0,1,0,0,0,0,low
55,2.0,3,40.6765,-73.9524,2850,8,0.4684590295881709,0,1,1,0,0,0,0,high
56,1.0,1,40.7638,-73.994,3100,5,0.691456710419782,1,1,1,1,0,0,1,low
57,1.0,0,40.7396,-74.0035,2850,3,0.08013345630419193,1,0,0,1,1,1,0,low
58,1.0,0,40.7617,-73.9617,2065,1,0.48012270091741893,1,1,1,0,0,0,0,low
59,1.0,1,40.6633,-73.9826,2050,3,0.3828943217548966,0,0,0,0,0,0,0,low
60,1.0,1,40.7434,-73.9746,3000,3,0.696800145439237,1,0,0,1,0,0,0,high
61,1.0,1,40.7783,-73.9837,3510,5,0.1466585618357842,0,1,1,0,1,1,1,low
62,1.0,0,40.7749,-73.9782,2200,8,0.16933374525038838,1,0,0,1,0,0,1,low
63,1.0,0,40.7182,-74.0148,3650,6,0.5560050341148283,1,1,1,1,0,0,0,low
64,1.0,0,40.7681,-73.9563,2547,7,0.6375194848240809,1,0,0,1,0,0,1,low
65,1.0,0,40.7606,-73.9973,2950,7,0.6526789940039837,1,0,0,1,0,0,0,medium
66,1.0,2,40.7221,-73.9806,3200,6,0.7135317888005797,0,1,1,1,1,1,1,medium
67,1.5,2,40.7689,-73.9235,2500,5,0.2908435746090521,0,1,1,1,0,0,0,low
68,1.0,2,40.7596,-73.99,3350,7,0.25583428103141714,1,0,0,1,1,1,0,low
69,1.0,1,40.7437,-73.9851,5550,45,0.09933631297899073,0,1,1,0,0,0,0,low
70,1.0,0,40.7678,-73.9915,3104,1,0.7542603727165481,0,1,1,1,0,0,0,low
71,1.0,1,40.7412,-73.9772,3050,9,0.6304033949005005,1,0,0,1,0,0,0,low
72,1.0,1,40.7534,-73.9368,2075,7,0.34555833720932927,0,1,1,1,0,0,0,medium
73,1.0,1,40.7246,-73.9833,2795,5,0.5750290092633766,1,0,0,0,0,0,0,medium
74,1.0,4,40.8007,-73.961,3295,8,0.23945329799551024,0,1,1,0,1,1,0,low
75,1.0,2,40.7191,-73.9961,4550,0,0.21841152931874835,0,0,0,1,0,0,0,low
76,1.0,1,40.7481,-73.9748,3500,1,0.3848601956693175,0,1,1,0,0,0,0,low
77,1.0,0,40.7601,-73.9901,1995,3,0.3119746502898533,1,1,1,1,1,1,1,low
78,1.0,2,40.7488,-73.9868,4599,6,0.12906741800346935,1,1,1,1,1,1,0,low
79,3.0,2,40.741,-74.0001,10000,6,0.13448303000521422,0,0,0,0,0,0,0,low
80,1.0,1,40.771,-73.9876,3200,5,0.5288692575018079,1,1,1,1,0,0,0,low
81,1.0,1,40.7246,-73.9833,3195,4,0.5750290092633766,1,1,1,1,0,0,0,medium
82,1.0,0,40.7606,-73.9991,2717,6,0.57553455717732,1,1,1,0,1,0,0,low
83,1.0,2,40.7369,-73.9741,4000,8,0.9163039575516121,0,0,1,1,0,0,0,low
84,0.0,0,40.7494,-73.9875,2625,8,0.04221110679631644,0,0,0,1,0,0,1,low
85,1.0,0,40.7604,-73.9617,2500,2,0.5312994443180371,0,0,0,0,0,0,0,low
86,1.0,2,40.6533,-73.9525,2550,12,0.3681445784521412,0,1,1,0,0,0,0,low
87,1.0,1,40.7673,-73.9905,3675,6,0.6593723955817435,1,1,1,1,0,0,0,low
88,1.0,2,40.7242,-73.9824,2500,4,0.6413990254686508,0,0,0,0,0,0,0,low
89,1.0,1,40.7803,-73.976,3785,8,0.3483335518519409,0,1,1,0,0,1,0,low
90,2.0,2,40.7141,-74.0096,10800,7,0.08555583031841846,0,1,1,1,0,0,0,low
91,1.0,0,40.7704,-73.9585,2150,4,0.3762785053034509,1,0,0,0,0,0,0,low
92,3.0,3,40.79,-73.9416,2895,14,0.4993243707287828,0,0,0,1,1,1,0,medium
93,1.0,2,40.7555,-73.9666,3600,6,0.3079309127900501,1,0,0,1,1,1,0,low
94,1.0,0,40.7301,-73.9865,3025,4,0.30732975296090287,0,0,0,1,1,0,0,low
95,1.0,0,40.7655,-73.9817,2795,5,0.12783733650957513,1,0,0,1,0,0,1,low
96,1.0,1,40.753,-73.9958,3450,0,0.2178579317743722,0,1,1,0,0,0,0,low
97,1.0,2,40.7957,-73.9481,2659,5,0.33279613353726795,0,1,1,1,1,1,1,low
98,2.0,2,40.6969,-73.983,3895,8,0.45519601325100584,1,1,1,1,1,1,0,low
99,1.0,3,40.6721,-73.978,3200,12,0.6766813943268004,0,1,1,0,0,0,0,medium
100,1.0,3,40.7377,-73.9831,5400,8,0.3805333813902316,1,1,1,1,0,0,0,medium
101,2.0,4,40.7612,-73.9978,6100,6,0.6852088080894094,1,1,1,1,0,0,0,medium
102,1.0,3,40.6959,-73.9022,2600,7,0.1622522981369013,0,1,1,0,1,1,0,medium
103,1.0,1,40.7845,-73.9503,2700,5,0.14555466186190366,1,0,0,1,1,1,0,medium
104,1.0,2,40.7848,-73.973,2910,6,0.36377294856791187,1,0,0,0,0,0,1,low
105,2.0,2,40.7637,-73.9938,4200,2,0.6726466004384868,0,1,1,1,0,0,0,low
106,1.0,1,40.7538,-73.974,3000,5,0.31455936155161474,1,0,0,1,0,0,0,low
107,1.0,1,40.7074,-74.0081,4295,6,0.10606656771041592,0,1,1,1,0,0,0,low
108,1.0,1,40.6983,-73.9929,2100,8,0.094052892834666,0,0,0,0,0,0,0,high
109,1.0,3,40.6666,-73.9821,4600,7,0.15575320478091062,0,0,1,0,0,0,0,low
110,1.0,1,40.778,-73.9466,2795,12,0.774851407889925,0,0,0,0,0,0,0,low
111,1.0,3,40.7734,-73.9243,2600,4,0.6463111286936015,0,0,0,0,0,0,0,medium
112,1.0,1,40.7266,-73.9999,4300,4,0.3131699567851272,1,0,0,0,1,1,0,low
113,1.0,1,40.742,-73.9969,5005,6,0.13448790814444317,0,1,1,1,1,0,1,low
114,1.0,2,40.7261,-74.0014,3045,4,0.1976070926718712,0,0,0,0,0,0,0,medium
115,1.0,2,40.8217,-73.945,1950,7,0.34910365667676985,0,1,1,0,1,1,0,medium
116,1.0,3,40.7243,-73.9834,5500,5,0.5599358311320367,1,1,1,0,1,1,1,low
117,2.0,2,40.7748,-73.952,3500,10,0.6029313420225082,1,0,0,0,0,0,1,low
118,1.0,1,40.7637,-73.9847,3000,7,0.17558011606969548,1,0,0,1,0,0,0,medium
119,1.0,1,40.7633,-73.9932,2895,3,0.614942681563805,0,1,1,0,1,1,0,low
120,1.0,1,40.6969,-73.983,2950,4,0.45519601325100584,0,1,1,0,0,0,0,low
121,1.0,0,40.799,-73.9634,1900,3,0.362479851606063,1,0,0,0,0,0,0,medium
122,1.0,2,40.6981,-73.8987,1700,15,0.5321421605154707,0,0,0,0,0,0,0,medium
123,1.0,2,40.7113,-73.9833,3100,6,0.6385046407978402,1,0,0,0,0,0,0,medium
124,1.0,3,40.773,-73.9478,3400,7,0.9753292711610029,1,0,0,0,0,0,0,medium
125,2.0,3,40.7419,-74.0014,6000,9,0.11460776135298446,1,0,0,0,0,0,1,low
126,1.0,3,40.8327,-73.943,2800,4,0.21798699581937123,1,1,1,1,0,0,1,medium
127,2.0,3,40.7304,-74.005,5295,3,0.24095064432639277,1,1,1,1,0,0,0,medium
128,4.0,4,40.8233,-73.9528,4295,9,0.16147026878803353,0,0,0,0,0,0,0,low
129,0.0,3,40.6945,-73.9092,2400,0,0.4483830501471124,0,0,0,0,0,0,0,low
130,1.0,0,40.7066,-74.0099,2900,6,0.07177185996869073,0,0,0,0,0,0,0,medium
131,1.0,0,40.7575,-73.9704,2090,2,0.11343393779956128,1,0,0,1,0,0,0,high
132,1.0,2,40.7586,-73.9838,3400,5,0.14745538978030323,1,0,0,1,0,0,0,low
133,1.0,1,40.7773,-73.9469,3150,5,0.7711584680380902,1,0,0,0,1,1,0,low
134,3.0,3,40.7898,-73.9759,8500,5,0.13129964571726524,0,1,1,1,0,0,0,low
135,1.0,1,40.6812,-73.9892,2195,6,0.5031187408718195,0,1,1,0,0,0,0,medium
136,1.0,1,40.7432,-73.9812,2950,6,0.25853442351188743,1,1,1,1,1,1,0,medium
137,1.0,2,40.8031,-73.9539,3000,6,0.23569009369223634,0,0,0,0,0,0,1,low
138,3.0,4,40.7376,-73.9827,8100,7,0.4138672740532688,0,1,1,1,0,0,0,low
139,2.0,5,40.7299,-73.9786,7477,4,0.2807295343787869,1,0,0,1,1,1,1,low
140,1.0,3,40.8198,-73.9578,3150,9,0.42509425448606464,0,0,0,1,0,0,1,medium
141,1.0,3,40.7775,-73.9536,3778,8,0.277688130750021,1,0,0,0,0,0,1,medium
142,1.0,1,40.688,-73.9151,2395,15,0.21905308673181176,0,0,0,0,0,0,0,low
143,2.0,4,40.7081,-74.0065,4750,6,0.14645486133268656,1,0,0,1,0,0,0,low
144,1.0,1,40.6767,-73.9828,2600,6,0.07331525224050327,0,1,1,0,1,1,0,high
145,1.0,2,40.8449,-73.9391,1900,6,0.28160749396915863,0,1,1,1,0,0,0,low
146,1.0,2,40.6936,-73.9986,2600,4,0.5779172637370248,0,1,1,0,0,0,0,low
147,1.0,2,40.7349,-73.9818,3030,4,0.4296811210480404,0,0,0,0,0,0,1,medium
148,1.0,0,40.7075,-74.0059,2575,3,0.2204290270055104,0,1,1,1,1,1,0,low
149,1.0,0,40.7399,-74.0036,2600,0,0.08718322268884517,0,1,1,0,1,0,0,low
150,1.0,2,40.7596,-73.9635,4095,8,0.4647082332702312,0,0,0,0,0,0,0,low
151,1.5,3,40.714,-73.9789,5000,8,0.8648090799623235,1,0,0,1,0,0,0,low
152,3.0,3,40.786,-73.952,6200,8,0.08637630461766471,1,0,0,1,1,1,1,low
153,1.0,1,40.7631,-73.9632,3195,3,0.2981514133388742,1,0,0,1,0,0,0,low
154,1.0,1,40.7866,-73.9732,3800,9,0.3409050515346626,0,1,1,1,0,0,1,low
155,1.0,1,40.7606,-73.9963,3161,5,0.6631306899417484,1,1,1,0,0,0,0,low
156,1.0,2,40.7619,-73.9609,2850,6,0.5333699735910463,1,0,0,1,0,0,0,medium
157,1.0,0,40.761,-73.9932,2595,6,0.5036945566612565,1,0,0,0,0,0,0,high
158,1.0,2,40.765,-73.994,2200,5,0.7319775202913638,0,0,0,0,0,0,0,high
159,1.0,3,40.7374,-73.98,5200,5,0.6198212591666991,1,0,0,1,0,0,0,low
160,2.0,2,40.8034,-73.9654,4000,12,0.13714421528288692,1,0,0,1,1,1,0,medium
161,1.0,1,40.7862,-73.9769,2650,8,0.27775976639531447,0,1,1,1,0,0,0,medium
162,1.0,1,40.7253,-74.0021,3141,0,0.17233940149519975,0,0,0,0,0,0,0,low
163,2.0,3,40.6989,-73.9202,2798,6,0.04886761438365135,1,1,1,0,1,1,0,medium
164,1.0,2,40.7284,-73.9818,2990,5,0.28425038785336676,0,0,0,0,0,0,0,medium
165,1.0,1,40.7692,-73.9848,2200,4,0.2639804821890519,0,0,1,0,0,0,0,low
166,1.0,1,40.7332,-74.0047,2695,3,0.15316214262383682,1,1,1,0,1,0,0,low
167,2.0,3,40.7456,-74.0053,7500,7,0.6053392134862363,1,0,0,1,0,0,0,medium
168,1.0,1,40.715,-74.0115,4970,5,0.19564292779680936,1,1,1,1,0,0,0,low
169,1.0,2,40.7673,-73.9894,3300,6,0.610644082622636,0,0,0,0,1,1,1,low
170,2.0,2,40.6927,-73.986,4590,37,0.05802777138964625,0,1,1,0,1,1,0,low
171,1.0,0,40.7516,-73.969,2350,3,0.5933995215400029,1,0,0,1,0,0,0,medium
172,1.0,1,40.8554,-73.9314,1650,5,0.1683269671756056,0,0,0,1,0,0,0,medium
173,1.0,2,40.711,-73.9591,3025,13,0.31472797975077105,0,1,1,0,1,0,0,medium
174,1.0,0,40.7783,-73.9837,2550,3,0.1466585618357842,0,1,1,1,0,0,0,low
175,1.0,1,40.7798,-73.9836,2900,4,0.20315164624401275,1,1,1,1,0,0,0,low
176,1.0,0,40.7475,-74.0047,3695,0,0.5883000136456638,0,1,1,1,0,0,0,low
177,2.0,2,40.7874,-73.942,3345,4,0.5824938183805313,1,0,0,1,0,0,0,low
178,1.0,0,40.7942,-73.966,3460,5,0.3043787969527166,0,1,1,1,0,0,0,low
179,2.0,2,40.8159,-73.9457,2575,7,0.2757921941261809,0,1,1,0,1,0,0,low
180,1.0,1,40.7635,-73.9848,2995,2,0.15303564265166433,0,0,0,0,1,1,0,low
181,1.0,2,40.8013,-73.9647,3200,0,0.3472804100938584,0,1,1,0,0,0,0,low
182,1.5,2,40.7476,-73.976,3855,6,0.42600176793893235,1,0,0,1,0,0,1,medium
183,1.0,1,40.7426,-73.9808,3650,0,0.29647237426940615,0,1,1,1,1,0,0,low
184,2.0,4,40.724,-73.9839,5500,7,0.5131528616462737,1,0,0,1,0,0,0,high
185,2.0,2,40.7387,-74.0085,9500,7,0.513105604945761,1,0,0,1,0,0,0,low
186,1.0,0,40.7535,-73.9648,1952,6,0.5757227900163908,1,1,1,1,1,1,1,medium
187,1.0,1,40.7555,-73.9666,2300,3,0.3079309127900501,0,0,0,1,0,0,0,medium
188,2.0,2,40.7337,-73.9897,6000,6,0.1102402644273672,1,0,0,1,0,0,0,low
189,1.0,1,40.822,-73.9521,1850,6,0.13261724507053704,0,0,0,1,0,0,0,low
190,1.0,1,40.6809,-73.9466,2550,0,0.3266924038883627,0,0,0,1,0,0,0,low
191,1.0,1,40.7287,-73.981,2850,5,0.2560499540015281,0,1,1,0,0,0,0,low
192,1.0,0,40.7032,-73.9914,3156,7,0.43574785296480273,0,1,1,0,0,0,0,low
193,1.0,1,40.7067,-74.0072,2350,5,0.1607192267262375,1,0,0,1,1,1,0,medium
194,1.0,3,40.7376,-73.976,4400,4,0.8781533229003587,1,0,0,1,0,0,0,low
195,1.0,3,40.8033,-73.966,4000,4,0.10287477508761646,1,0,0,0,1,1,1,low
196,1.0,0,40.775,-73.9512,1975,4,0.621343022586593,1,0,0,1,0,0,1,low
197,2.0,3,40.8034,-73.9576,4000,4,0.29570413406598745,0,0,0,0,1,0,1,low
198,1.0,2,40.7928,-73.9659,3550,6,0.16336444485212356,1,1,1,1,1,1,0,medium
199,1.0,1,40.7265,-73.984,3100,5,0.5339705323662615,1,1,1,0,1,1,0,high
200,1.0,1,40.675,-73.955,2050,1,0.2227359432740798,0,1,1,0,0,0,0,low
201,2.0,3,40.789,-73.9756,7000,8,0.06537543833172893,1,1,1,1,1,1,0,low
202,1.0,1,40.7977,-73.9705,2750,5,0.2637579132254015,0,0,0,0,0,0,0,medium
203,1.0,1,40.6767,-73.9725,1950,1,0.04050218095110053,0,1,1,0,0,0,0,high
204,1.0,0,40.7811,-73.9482,1900,4,0.5628883555954518,1,0,0,1,0,0,0,medium
205,1.0,0,40.7813,-73.9494,2275,3,0.506069293998672,1,0,0,0,0,0,0,low
206,1.0,1,40.7674,-73.9838,3625,11,0.18356818108754,1,0,0,1,1,0,1,low
207,1.0,1,40.7939,-73.9737,2695,6,0.1159374923889119,1,1,1,1,0,0,0,medium
208,1.0,2,40.7198,-73.9974,3295,7,0.2601839241038419,0,1,1,0,0,0,0,low
209,1.0,1,40.7593,-73.9628,2795,3,0.5296834257808498,0,0,0,0,1,1,0,low
210,1.0,2,40.7285,-73.979,2900,6,0.35133430511110786,1,0,0,0,1,1,0,low
211,1.0,1,40.7832,-73.9519,2275,0,0.28361764004297635,0,0,0,0,0,0,0,low
212,1.0,3,40.7314,-73.9893,4995,5,0.21129214585947836,1,0,0,0,0,0,0,medium
213,1.0,1,40.7608,-73.9863,2100,6,0.18605220282493,0,1,1,0,0,0,0,low
214,2.0,2,40.7746,-73.9914,9095,7,0.7846208632820572,0,1,1,0,0,0,0,low
215,1.0,2,40.799,-73.9634,3200,0,0.362479851606063,0,0,0,0,0,0,0,low
216,1.0,2,40.7984,-73.9632,2595,8,0.2957437095569802,0,0,0,0,0,0,0,medium
217,1.0,0,40.7465,-73.9957,3350,13,0.20797774870070204,0,1,1,1,1,1,0,low
218,1.0,2,40.7255,-73.9884,3250,4,0.2668721429000798,1,0,0,0,1,1,0,high
219,1.0,0,40.7601,-73.9901,2095,3,0.3119746502898533,0,1,1,1,0,0,1,low
220,0.0,0,40.7459,-73.9572,2380,7,0.4748543497661429,0,0,0,1,0,0,1,low
221,1.0,0,40.7777,-73.9532,2200,1,0.28314133515724843,0,0,0,0,0,0,0,low
222,1.0,0,40.7637,-73.9846,2650,5,0.18088899135017292,1,0,0,1,0,0,0,low
223,1.0,3,40.8273,-73.9471,2950,9,0.28666120913583704,1,0,0,0,0,0,1,low
224,2.0,4,40.7429,-74.0028,7995,5,0.24196918141162024,1,0,0,0,0,0,0,medium
225,1.0,1,40.755,-73.9663,2950,4,0.36656960077437345,1,0,0,0,0,0,0,low
226,1.0,1,40.7539,-73.9677,3700,0,0.42181771515569694,0,1,1,0,0,0,0,low
227,1.0,3,40.7416,-74.0025,5695,3,0.10410165861315969,1,0,0,0,1,1,0,low
228,1.0,1,40.7722,-73.9585,2700,8,0.19575091518033566,1,0,0,0,0,0,1,low
229,2.0,2,40.6887,-73.9851,4370,1,0.025427241149215022,0,1,1,1,1,1,1,low
230,2.0,2,40.7364,-73.9776,5070,13,0.6942862005532392,0,0,0,0,0,0,0,low
231,1.0,1,40.7768,-73.9537,2600,5,0.3389714294250058,0,1,1,0,1,1,0,medium
232,1.0,2,40.7749,-73.9484,2500,2,0.7919279234571611,0,0,0,0,0,0,0,medium
233,1.0,0,40.7739,-73.9528,2400,5,0.5964953730757218,0,1,1,0,1,1,0,low
234,1.0,1,40.7252,-73.9947,4675,3,0.07957941921529266,1,0,0,1,1,1,0,low
235,1.0,2,40.7045,-74.0089,2995,6,0.2586334610855536,0,0,0,1,1,1,0,medium
236,1.0,1,40.6777,-73.9799,2550,4,0.2740434695889509,0,1,1,0,0,0,0,medium
237,1.0,2,40.7692,-73.9258,2600,6,0.4526444954066281,1,1,1,0,1,1,1,medium
238,1.0,1,40.7473,-73.9736,2695,5,0.5032700897065746,0,0,0,1,0,0,0,low
239,1.0,3,40.7413,-73.9779,4300,8,0.5711327866841851,1,0,0,1,1,1,0,medium
240,1.0,1,40.7597,-73.989,2650,3,0.2730876352211335,0,1,1,1,0,0,0,low
241,2.0,4,40.6697,-73.9548,4495,0,0.30140597162035465,0,0,0,0,0,0,0,low
242,1.0,1,40.8327,-73.943,1925,4,0.21798699581937123,1,0,0,1,0,0,1,low
243,1.0,3,40.7318,-73.9822,3860,4,0.10579813216037941,1,0,0,1,1,1,0,low
244,1.0,2,40.7443,-73.9805,3000,5,0.23842479835070737,1,1,1,1,1,1,0,high
245,1.0,1,40.7477,-73.9757,2395,6,0.4158615365743396,0,1,1,0,0,0,0,high
246,1.0,0,40.7333,-73.9921,2850,5,0.20183640185995913,1,0,0,1,0,0,1,medium
247,1.0,2,40.7081,-74.0065,5250,8,0.14645486133268656,0,1,1,1,0,0,0,low
248,1.0,3,40.7823,-73.951,3700,5,0.3749956028169088,1,0,0,1,0,0,0,medium
249,1.0,0,40.7601,-73.99,2099,4,0.31125753976850845,1,0,0,1,1,1,0,medium
250,1.0,1,40.7108,-73.9672,3025,0,0.8409447882334591,0,1,1,1,0,0,0,low
251,1.0,1,40.7909,-73.9773,2975,5,0.26688210474793006,1,0,0,0,0,0,1,low
252,1.0,0,40.7466,-73.9779,2500,2,0.3564967805650914,1,1,1,1,0,0,0,low
253,2.0,2,40.7191,-74.0109,6295,4,0.3391527651218274,1,1,1,1,0,0,1,low
254,2.0,2,40.6938,-73.9669,5025,7,0.6350550565310542,1,1,1,1,1,1,0,low
255,1.0,2,40.7268,-74.0018,4050,5,0.17537715693028066,0,1,1,0,0,0,0,low
256,2.0,3,40.7247,-73.9789,4950,4,0.7323167104063393,1,0,0,1,0,0,0,low
257,3.0,4,40.7726,-73.956,9000,8,0.3453762310420709,1,0,0,1,0,0,0,low
258,1.0,0,40.6838,-73.9666,1825,3,0.08771505911892911,0,0,0,0,0,0,0,medium
259,1.0,1,40.7199,-73.9538,2850,6,0.3877559297300382,0,0,0,1,1,1,0,low
260,1.0,0,40.7198,-73.9974,2195,5,0.2601839241038419,1,0,0,0,1,1,0,low
261,1.0,2,40.7087,-73.955,3700,8,0.23546032476662795,0,1,1,0,1,1,0,low
262,1.0,0,40.7991,-73.9597,2650,7,0.21178441230457215,0,1,1,0,0,0,1,low
263,1.0,1,40.7995,-73.9667,2700,6,0.14145677640857257,1,0,0,0,1,1,0,low
264,1.0,2,40.758,-73.9662,3000,5,0.24557524368519226,0,0,0,0,0,0,0,high
265,1.0,0,40.6838,-73.9666,1825,4,0.08771505911892911,0,1,1,0,0,0,0,low
266,1.0,2,40.7766,-73.9452,2729,3,0.9320078698395293,1,0,0,0,1,1,0,medium
267,1.0,1,40.7847,-73.9475,2000,4,0.31941021023656085,1,0,0,0,0,0,0,medium
268,1.0,2,40.7957,-73.9481,2635,5,0.33279613353726795,1,1,1,1,0,0,1,low
269,1.0,2,40.6996,-73.9185,2700,0,0.14578950833197643,0,0,0,0,0,0,0,low
270,1.0,1,40.8051,-73.9497,2350,5,0.33386685569424146,0,1,1,0,0,0,0,low
271,1.0,2,40.7516,-73.969,3495,6,0.5933995215400029,1,0,0,1,0,0,0,low
272,2.0,3,40.7568,-73.9982,4892,19,0.3287404077893157,1,1,1,1,0,0,0,medium
273,1.0,0,40.7797,-73.9476,1850,4,0.6730703286704002,1,0,0,1,0,0,0,medium
274,1.0,1,40.6645,-73.9807,2300,7,0.1997245573067775,0,0,0,0,1,1,0,medium
275,1.0,3,40.7444,-73.9754,5450,6,0.592657148607116,1,0,0,1,0,0,0,low
276,1.0,2,40.7946,-73.9354,2100,0,0.68890420721243,0,1,1,0,0,0,0,low
277,1.0,0,40.7756,-73.981,1870,5,0.2608664036363909,0,0,0,0,0,0,1,low
278,1.0,2,40.7278,-73.9999,2875,1,0.3677567543932809,1,0,0,0,1,1,0,high
279,1.0,0,40.7798,-73.9836,2300,5,0.20315164624401275,1,1,1,1,0,0,0,medium
280,2.0,4,40.8374,-73.9437,3400,3,0.3555487027758846,0,0,0,0,0,0,0,medium
281,1.0,1,40.7838,-73.9534,4025,7,0.2860282733833235,0,0,0,1,0,0,1,low
282,1.0,2,40.754,-73.9687,2500,4,0.39609465775947145,1,1,1,1,0,0,1,low
